Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Micronesia,2021,81st,71.7,3.7,5.6,3.7,8.5,7.1,9,4.3,6.7,3.5,6,3.6,10
Moldova,2021,103rd,67,5.1,8.3,6.4,5.9,3.8,7.5,5.7,5.2,4.5,5.4,3,6.2
Mongolia,2021,132nd,52.3,2.9,5.5,2.6,5.1,5.2,4.2,3.8,5.2,4,4.7,2.5,6.6
Montenegro,2021,120th,58.5,4.6,6.5,9.1,6,2,4.7,3.6,4.4,3.4,3.9,3.4,6.9
Morocco,2021,83rd,71.5,4.9,6.6,8.5,6.2,5,7.5,6.8,5.1,5.6,4.8,5.3,5.2
Mozambique,2021,22nd,93.9,7.3,6.6,5.8,8.3,9.2,7.3,7,9.9,7.4,9.8,7.7,7.6
Myanmar,2021,23rd,93.8,8.9,8.3,9.9,4.8,7.1,6.5,8.1,8.9,9.1,6.3,8.8,7.1
Namibia,2021,109th,64.3,4.8,3.5,4.6,7.4,7.4,6.2,3,7.4,2.6,8.1,4.1,5.2
Nepal,2021,51st,82.2,5.3,8.8,9.4,5.3,5.8,6.2,6.4,7.3,6.5,8.1,7.2,5.9
Netherlands,2021,168th,24.1,2.2,3.4,3.6,2.2,1.6,2.4,0.5,1.3,0.7,3.1,2.6,0.5
New Zealand,2021,176th,18.4,1.4,1.4,2.6,3.4,2.1,1.6,0.5,1.4,0.5,1.4,1.6,0.5
Nicaragua,2021,65th,77.1,5.8,7.1,5.9,6,7,7.7,8.6,6.4,7.3,4.8,3.7,6.8
Niger,2021,21st,96,8.9,9.3,7.5,6.8,7.8,7,7.1,9.7,7.1,8.8,8.5,7.5
Nigeria,2021,12th,98,8.8,9.6,8.8,8.6,7.7,6.5,8.4,9.3,8.7,9.3,6.6,5.7
North Korea,2021,30th,90,8,8.8,5.2,8.9,7.3,3.8,9.9,8.6,9.4,7.1,3.8,9.2
North Macedonia,2021,108th,64.5,4.7,7.3,6,6.5,4.5,6,5.1,4.8,3,4.2,6.9,5.5
Norway,2021,178th,16.6,1.8,1.1,3.3,1.9,1,0.8,0.5,1.6,0.5,1.4,2.2,0.5
Oman,2021,136th,50.4,3,6.6,2.3,5,4.1,1.9,6.9,3.7,7,4.5,1.9,3.5
Pakistan,2021,29th,90.5,7.9,9,8.8,7.1,5.3,6.2,7.3,8,7.3,7.9,7.5,8.2
Palestine,2021,37th,86,6,8.9,5,7,4.9,8.8,8.8,4.2,7.7,8.5,6.2,10
Panama,2021,139th,48.7,5.2,2.2,5.6,3.7,6.2,4,3.1,5.4,3.8,5.3,2.2,2
Papua New Guinea,2021,52nd,80.9,6.7,7.1,5.1,7,8.8,6.5,6,9.3,6.9,7.6,4.3,5.6
Paraguay,2021,105th,66.4,6.3,7.8,4.6,4.9,7.1,5,6.6,6.3,5.5,5.5,3,3.8
Peru,2021,85th,71.4,6.1,7.4,8.6,4.8,6.4,6.2,7.2,7.4,3.5,7.4,4.1,2.3
Philippines,2021,49th,82.4,9.3,8,7.3,5.3,5.2,5.4,7.4,6.8,7.8,7.6,6.3,6
Poland,2021,147th,43.1,2.4,4.2,5.6,3.8,2.4,4.6,4.3,3,4,3.6,2.4,2.8
Portugal,2021,164th,26.8,0.5,2.5,1.3,4.8,2,2.8,0.8,2.9,1.1,3.3,1.8,3
Qatar,2021,144th,44.1,1.4,5,3.4,1.6,4.7,1.5,6.4,2.9,6.1,3.4,1.4,6.3
